# e2t.dat 最終更新 2004/11/22
# 1-334
f367	ﾊｲﾋﾞｽｶｽ
f368	花束
f369	ｻﾎﾞﾃﾝ
f36a	お銚子と杯
f36b	乾杯
f36c	祝
f36d	風邪薬
f36e	風船
f36f	ｸﾗｯｶｰ
f370	eznavigation
f371	帽子
f372	ﾌﾞｰﾂ
f373	ﾈｲﾙ
f374	美容院
f375	理容店
f376	着物
f377	ﾋﾞｷﾆ
f378	ﾊｰﾄ
f379	光るﾊｰﾄ
f37a	青ﾊｰﾄ
f37b	緑ﾊｰﾄ
f37c	黄ﾊｰﾄ
f37d	紫ﾊｰﾄ
f37e	きらきら
f380	ｽｷｰ
f381	Ｏ
f382	日本茶
f383	食ﾊﾟﾝ
f384	ｿﾌﾄｸﾘｰﾑ
f385	ﾎﾟﾃﾄ
f386	だんご
f387	せんべい
f388	ごはん
f389	ｽﾊﾟｹﾞｯﾃｨ
f38a	ｶﾚｰ
f38b	おでん
f38c	寿司
f38d	ﾘﾝｺﾞ
f38e	みかん
f38f	ﾄﾏﾄ
f390	なす
f391	弁当
f392	鍋
f393	ふっ
f394	しょんぼり
f395	勝ち誇り
f396	失敗
f397	分からん
f398	眠い
f399	てれてれ
f39a	青ざめ
f39b	風邪ひき
c39c	熱
f39d	横目
f39e	びっくり
f39f	あせり
f3a0	楽譜
f3a1	にこにこ
f3a2	ﾁｭｰ
f3a3	Chu!
f3a4	鼻
f3a5	口
f3a6	ごめん
f3a7	拍手
f3a8	OK!
f3a9	ﾌﾞｰｲﾝｸﾞ
f3aa	ﾊﾞｲﾊﾞｲ
f3ab	NG
f3ac	OK!
f3ad	平謝り
f3ae	ｶｯﾌﾟﾙ
f3af	ﾊﾞﾆｰ
f3b0	ﾄﾗﾝﾍﾟｯﾄ
f3b1	ﾋﾞﾘﾔｰﾄﾞ
f3b2	水泳
f3b3	消防車
f3b4	救急車
f3b5	ﾊﾟﾄｶｰ
f3b6	ｼﾞｪｯﾄｺｰｽﾀｰ
f3b7	門松
f3b8	雛祭り
f3b9	卒業式
f3ba	入学式
f3bb	こいのぼり
f3bc	傘
f3bd	花嫁
f3be	かき氷
f3bf	線香花火
f3c0	巻き貝
f3c1	風鈴
f3c2	ﾊﾛｳｨﾝ
f3c3	月見
f3c4	ｻﾝﾀ
f3c5	夜/流れ星
f3c6	虹
f3c7	ﾎﾃﾙ
f3c8	日の出
f3c9	ｼﾙｸﾊｯﾄ
f3ca	ﾃﾞﾊﾟｰﾄ
f3cb	城-日本
f3cc	城-ﾖｰﾛｯﾊﾟ
f3cd	工場
f3ce	ﾌﾗﾝｽ国旗
f7d2	ｵｰﾌﾟﾝｳｪｰﾌﾞ
f7d3	ﾛｯｸ確認
f7d4	大文字
f7d5	小文字
f7d6	数字
f7d7	記号
f7d8	可
f7d9	ﾁｪｯｸﾎﾞｯｸｽ
f7da	ｴﾃﾞｨｯﾄ
f7db	ﾗｼﾞｵﾎﾞﾀﾝ
f7dc	見る
f7dd	戻る
f7de	お気に入り
f7df	終了
f7e0	ﾎｰﾑ
f7e1	受信箱
f7e2	ﾏｰｸ
f7e3	個人
f7e4	再読込
# 519-699 欠番
# 700-822
f3cf	ﾄﾞｲﾂ国旗
f3d0	ｲﾀﾘｱ国旗
f3d1	ｲｷﾞﾘｽ国旗
f3d2	中国国旗
f3d3	韓国国旗
f3d4	白人
f3d5	中国人
f3d6	ｲﾝﾄﾞ人
f3d7	おじいさん
f3d8	おばあさん
f3d9	赤ちゃん
f3da	工事現場の人
f3db	お姫様
f3dc	ｲﾙｶ
f3dd	ﾀﾞﾝｽ
f3de	熱帯魚
f3df	ｹﾞｼﾞｹﾞｼﾞ
f3e0	象
f3e1	ｺｱﾗ
f3e2	ﾎﾙｽﾀｲﾝ
f3e3	ﾍﾋﾞ
f3e4	鶏
f3e5	うりぼう
f3e6	ふたこぶらくだ
f3e7	Ａ型
f3e8	Ｂ型
f3e9	Ｏ型
f3ea	AB型
f3eb	足跡
f3ec	ｽﾆｰｶｰ
f3ed	旗
f3ee	ｸﾞｯﾄﾞ
f3ef	ﾊﾞｯﾄﾞ
f3f0	!?
f3f1	!!
f3f2	くるり
f3f3	ﾒﾛﾝ
f3f4	ﾊﾟｲﾅｯﾌﾟﾙ
f3f5	ぶどう
f3f6	ﾊﾞﾅﾅ
f3f7	とうもろこし
f3f8	きのこ
f3f9	栗
f3fa	桃
f3fb	焼き芋
f3fc	ﾋﾟｻﾞ
f440	ﾀｰｷｰ
f441	七夕笹飾り
f442	ﾄﾛﾋﾟｶﾙﾄﾞﾘﾝｸ
f443	辰
f444	ﾋﾟｱﾉ
f445	ｻｰﾌｨﾝ
f446	釣り
f447	ﾎﾞｰﾘﾝｸﾞ
f448	なまはげ
f449	天狗
f44a	ﾊﾟﾝﾀﾞ
f44b	あっかんべー
f44c	豚の鼻
f44d	花
f44e	ｱｲｽｸﾘｰﾑ
f44f	ﾄﾞｰﾅﾂ
f450	ｸｯｷｰ
f451	ﾁｮｺ
f452	ｷｬﾝﾃﾞｨ
f453	ｷｬﾝﾃﾞｨ
f454	見ざる
f455	言わざる
f456	聞かざる
f457	火山
f458	ﾘﾎﾞﾝがけのﾊｰﾄ
f459	英語
f45a	ﾌﾟﾘﾝ
f45b	ﾐﾂﾊﾞﾁ
f45c	てんとう虫
f45d	蜂蜜ﾎﾟｯﾄ
f45e	青ﾘﾝｺﾞ
f45f	羽のはえた札
f460	目が回る
f461	ぶー
f462	ぶー-猫
f463	天の川
f464	ﾁｭｰ-猫
f465	にこ-猫
f466	ﾒｰﾙする
f467	泣き笑い-猫
f468	泣き笑い
f469	目がﾊｰﾄ-猫
f46a	ほえー-猫
f46b	ほえー
f46c	涙ぽろり-猫
f46d	涙ぽろり
f46e	きりり-猫
f46f	ﾄﾞﾚｽ
f470	ﾓﾔｲ像
f471	駅
f472	花札
f473	ｼﾞｮｰｶｰ
f474	ｴﾋﾞﾌﾗｲ
f475	eﾒｰﾙ
f476	歩く人
f477	ﾊﾟﾄｶｰのﾗﾝﾌﾟ
f478	ezmovie
f479	ﾄﾞｷﾄﾞｷﾊｰﾄ
f47a	ひよこ
f47b	ｼﾞｰﾝｽﾞ
f47c	ﾊｰﾄﾒｰﾙ
f47d	循環矢印
f47e	左右矢印
f480	上下矢印
f481	荒波
f482	双葉
f483	かたつむり
f484	うっしっし-猫
f485	うっしっし
f486	Cﾒｰﾙ
f487	ﾊｰﾌﾞ
f488	ｸﾞｰ
f489	＃
f48a	挙手-ｷｬﾗｸﾀｰ
f48b	ﾊﾞﾝｻﾞｲ-ｷｬﾗｸﾀｰ
f48c	しょんぼり-ｷｬﾗｸﾀｰ
f48d	ぷ～っ-ｷｬﾗｸﾀｰ
